enquiry_id,date,channel,enquiry_type,response_time_hours,agent_id,property_id,converted
ENQ-00001,2025-09-13,Email,Availability Check,3.3,Agent_12,RK-0150,True
ENQ-00002,2024-02-05,Phone,Design Consultation,1.5,Agent_36,RK-0440,False
ENQ-00003,2024-06-12,WhatsApp,Availability Check,0.9,Agent_45,RK-0123,True
ENQ-00004,2025-03-27,Email,Viewing Request,4.7,Agent_14,RK-0198,False
ENQ-00005,2024-12-02,WhatsApp,Availability Check,1.3,Agent_32,RK-0015,True
ENQ-00006,2025-11-11,Contact Form,Pricing Question,3.1,Agent_27,RK-0372,False
ENQ-00007,2024-07-24,Email,Viewing Request,10.0,Agent_17,RK-0476,False
ENQ-00008,2024-07-08,Contact Form,General Enquiry,25.3,Agent_35,RK-0133,False
ENQ-00009,2024-11-21,WhatsApp,Pricing Question,3.3,Agent_05,RK-0219,False
ENQ-00010,2024-09-03,Contact Form,Viewing Request,1.0,Agent_39,RK-0495,False
ENQ-00011,2024-02-23,Phone,Complaint,0.9,Agent_01,RK-0383,False
ENQ-00012,2024-04-20,Email,Pricing Question,15.7,Agent_08,RK-0029,False
ENQ-00013,2025-11-03,WhatsApp,Viewing Request,2.6,Agent_12,RK-0212,False
ENQ-00014,2024-03-13,WhatsApp,Pricing Question,15.7,Agent_27,RK-0173,False
ENQ-00015,2024-07-06,WhatsApp,Pricing Question,2.0,Agent_45,RK-0342,False
ENQ-00016,2024-07-18,Phone,Viewing Request,0.7,Agent_43,RK-0077,False
ENQ-00017,2024-01-20,WhatsApp,General Enquiry,11.1,Agent_15,RK-0479,True
ENQ-00018,2025-10-27,Email,General Enquiry,5.9,Agent_19,RK-0448,False
ENQ-00019,2025-01-03,WhatsApp,General Enquiry,5.0,Agent_47,RK-0376,True
ENQ-00020,2024-12-24,Contact Form,Viewing Request,9.7,Agent_46,RK-0140,False
ENQ-00021,2025-09-20,Contact Form,Design Consultation,20.6,Agent_13,RK-0089,False
ENQ-00022,2025-07-19,Email,Availability Check,4.0,Agent_49,RK-0007,False
ENQ-00023,2025-06-06,Contact Form,Availability Check,12.5,Agent_50,RK-0028,False
ENQ-00024,2024-11-08,Contact Form,Viewing Request,3.3,Agent_36,RK-0270,False
ENQ-00025,2024-12-13,Phone,Pricing Question,0.4,Agent_29,RK-0173,True
ENQ-00026,2024-08-04,Contact Form,Pricing Question,8.6,Agent_38,RK-0320,False
ENQ-00027,2025-05-04,WhatsApp,Viewing Request,0.7,Agent_10,RK-0138,False
ENQ-00028,2025-05-10,Contact Form,Pricing Question,3.3,Agent_01,RK-0236,False
ENQ-00029,2025-05-30,WhatsApp,Viewing Request,0.5,Agent_01,RK-0071,False
ENQ-00030,2025-04-01,Email,Viewing Request,2.3,Agent_36,RK-0434,False
ENQ-00031,2024-10-09,Contact Form,Viewing Request,1.5,Agent_29,RK-0016,False
ENQ-00032,2024-07-05,Contact Form,Availability Check,5.9,Agent_46,RK-0474,False
ENQ-00033,2025-05-03,WhatsApp,Viewing Request,1.9,Agent_44,RK-0268,False
ENQ-00034,2025-06-13,Email,Viewing Request,9.1,Agent_26,RK-0087,False
ENQ-00035,2025-01-24,WhatsApp,Viewing Request,1.6,Agent_37,RK-0402,False
ENQ-00036,2024-12-22,Email,General Enquiry,1.3,Agent_12,RK-0118,False
ENQ-00037,2025-02-26,Phone,Viewing Request,1.7,Agent_33,RK-0235,True
ENQ-00038,2024-09-27,WhatsApp,Viewing Request,0.5,Agent_18,RK-0259,False
ENQ-00039,2025-12-22,Contact Form,Viewing Request,4.7,Agent_31,RK-0378,False
ENQ-00040,2025-12-22,Email,Availability Check,1.0,Agent_02,RK-0172,False
ENQ-00041,2025-03-01,WhatsApp,Availability Check,1.6,Agent_16,RK-0351,False
ENQ-00042,2025-02-15,Contact Form,Viewing Request,5.2,Agent_45,RK-0150,True
ENQ-00043,2025-12-27,WhatsApp,Viewing Request,5.4,Agent_39,RK-0378,True
ENQ-00044,2024-05-02,Email,Viewing Request,1.8,Agent_15,RK-0035,True
ENQ-00045,2025-09-14,Phone,Complaint,2.2,Agent_08,RK-0122,True
ENQ-00046,2025-11-21,Email,Viewing Request,6.8,Agent_13,RK-0195,False
ENQ-00047,2024-11-29,Phone,Viewing Request,0.1,Agent_38,RK-0226,False
ENQ-00048,2025-02-11,Contact Form,Pricing Question,3.2,Agent_16,RK-0110,False
ENQ-00049,2025-01-03,Email,Viewing Request,1.1,Agent_26,RK-0494,False
ENQ-00050,2025-02-23,Contact Form,Complaint,9.2,Agent_43,RK-0025,True
ENQ-00051,2024-05-20,Email,Viewing Request,8.9,Agent_28,RK-0179,False
ENQ-00052,2025-11-02,Contact Form,Pricing Question,1.0,Agent_33,RK-0068,False
ENQ-00053,2024-11-18,Phone,Availability Check,3.3,Agent_39,RK-0094,False
ENQ-00054,2025-12-09,Email,Viewing Request,12.8,Agent_02,RK-0458,False
ENQ-00055,2025-01-04,Email,Design Consultation,4.6,Agent_47,RK-0249,False
ENQ-00056,2024-05-26,Phone,Viewing Request,2.1,Agent_45,RK-0428,False
ENQ-00057,2025-12-05,Contact Form,Complaint,1.6,Agent_19,RK-0338,False
ENQ-00058,2025-11-29,Contact Form,Availability Check,1.0,Agent_49,RK-0037,False
ENQ-00059,2025-09-01,WhatsApp,Pricing Question,3.4,Agent_23,RK-0310,True
ENQ-00060,2025-06-23,WhatsApp,Pricing Question,0.5,Agent_44,RK-0439,False
ENQ-00061,2024-03-25,Contact Form,Viewing Request,4.2,Agent_06,RK-0151,False
ENQ-00062,2024-12-08,Contact Form,Pricing Question,3.5,Agent_43,RK-0146,False
ENQ-00063,2024-08-12,WhatsApp,Viewing Request,1.1,Agent_44,RK-0466,True
ENQ-00064,2024-10-29,Email,Pricing Question,12.1,Agent_20,RK-0347,False
ENQ-00065,2025-10-10,WhatsApp,Pricing Question,0.7,Agent_40,RK-0112,True
ENQ-00066,2024-06-25,Email,Viewing Request,4.3,Agent_17,RK-0028,False
ENQ-00067,2025-06-20,Email,Pricing Question,19.1,Agent_38,RK-0390,True
ENQ-00068,2025-10-15,Email,Viewing Request,6.8,Agent_33,RK-0152,True
ENQ-00069,2024-08-28,Contact Form,Viewing Request,2.3,Agent_01,RK-0484,False
ENQ-00070,2025-05-22,Email,Availability Check,3.0,Agent_29,RK-0403,False
ENQ-00071,2024-01-25,WhatsApp,General Enquiry,2.5,Agent_19,RK-0481,False
ENQ-00072,2025-03-14,Contact Form,Pricing Question,7.2,Agent_21,RK-0122,True
ENQ-00073,2024-02-17,Email,Design Consultation,11.9,Agent_18,RK-0444,True
ENQ-00074,2025-01-15,WhatsApp,Viewing Request,3.1,Agent_09,RK-0109,False
ENQ-00075,2025-01-22,Email,Pricing Question,6.5,Agent_05,RK-0247,False
ENQ-00076,2024-03-19,WhatsApp,Availability Check,8.1,Agent_42,RK-0109,False
ENQ-00077,2024-04-04,Email,Availability Check,3.1,Agent_09,RK-0478,False
ENQ-00078,2025-09-02,Phone,Viewing Request,0.2,Agent_13,RK-0268,False
ENQ-00079,2025-05-22,WhatsApp,Design Consultation,1.1,Agent_23,RK-0103,False
ENQ-00080,2025-05-01,Email,Pricing Question,3.7,Agent_05,RK-0223,False
ENQ-00081,2025-03-09,Email,Viewing Request,1.6,Agent_25,RK-0013,False
ENQ-00082,2024-04-15,WhatsApp,Pricing Question,0.5,Agent_11,RK-0374,False
ENQ-00083,2024-11-20,Email,Pricing Question,2.5,Agent_47,RK-0318,False
ENQ-00084,2024-08-03,WhatsApp,Design Consultation,1.2,Agent_35,RK-0183,True
ENQ-00085,2025-04-11,Phone,Pricing Question,0.4,Agent_25,RK-0144,False
ENQ-00086,2024-08-19,WhatsApp,Viewing Request,2.7,Agent_19,RK-0042,False
ENQ-00087,2024-06-21,Phone,General Enquiry,1.4,Agent_25,RK-0006,False
ENQ-00088,2024-08-02,Phone,Pricing Question,0.1,Agent_46,RK-0152,False
ENQ-00089,2025-01-17,Email,Pricing Question,13.0,Agent_38,RK-0189,True
ENQ-00090,2025-08-24,Email,Availability Check,2.1,Agent_08,RK-0179,False
ENQ-00091,2025-12-26,Phone,Viewing Request,1.2,Agent_08,RK-0312,False
ENQ-00092,2024-02-04,Phone,Viewing Request,0.1,Agent_27,RK-0001,False
ENQ-00093,2024-08-17,Email,Viewing Request,13.7,Agent_42,RK-0373,False
ENQ-00094,2025-07-28,WhatsApp,Availability Check,2.8,Agent_35,RK-0432,False
ENQ-00095,2024-08-11,Phone,General Enquiry,0.5,Agent_14,RK-0447,False
ENQ-00096,2024-11-12,Contact Form,General Enquiry,10.3,Agent_23,RK-0338,False
ENQ-00097,2025-12-18,Email,Viewing Request,3.4,Agent_50,RK-0292,False
ENQ-00098,2025-08-13,Email,General Enquiry,2.8,Agent_24,RK-0488,False
ENQ-00099,2024-09-12,Email,Availability Check,29.8,Agent_15,RK-0236,False
ENQ-00100,2024-12-14,Contact Form,Pricing Question,17.0,Agent_31,RK-0192,False
ENQ-00101,2025-07-03,Email,Pricing Question,5.1,Agent_37,RK-0462,False
ENQ-00102,2024-04-03,Contact Form,Pricing Question,12.3,Agent_35,RK-0485,False
ENQ-00103,2025-09-25,WhatsApp,Viewing Request,1.0,Agent_02,RK-0132,False
ENQ-00104,2025-04-26,WhatsApp,Pricing Question,5.6,Agent_05,RK-0148,True
