month,service_line,revenue_eur
2024-01,Brokerage,301600.0
2024-01,Interior Design,114600.0
2024-01,Property Management,46400.0
2024-01,Brokerage,280900.0
2024-01,Interior Design,135500.0
2024-01,Property Management,48900.0
2024-03,Brokerage,320800.0
2024-03,Interior Design,127800.0
2024-03,Property Management,61700.0
2024-03,Brokerage,362100.0
2024-03,Interior Design,155200.0
2024-03,Property Management,58500.0
2024-04,Brokerage,338500.0
2024-04,Interior Design,143800.0
2024-04,Property Management,57000.0
2024-05,Brokerage,312500.0
2024-05,Interior Design,123600.0
2024-05,Property Management,59800.0
2024-06,Brokerage,281400.0
2024-06,Interior Design,126200.0
2024-06,Property Management,52800.0
2024-07,Brokerage,280500.0
2024-07,Interior Design,126300.0
2024-07,Property Management,51400.0
2024-08,Brokerage,271700.0
2024-08,Interior Design,113400.0
2024-08,Property Management,43200.0
2024-09,Brokerage,254300.0
2024-09,Interior Design,121300.0
2024-09,Property Management,50900.0
2024-10,Brokerage,280300.0
2024-10,Interior Design,108600.0
2024-10,Property Management,44000.0
2024-11,Brokerage,282600.0
2024-11,Interior Design,132000.0
2024-11,Property Management,53600.0
2024-12,Brokerage,337700.0
2024-12,Interior Design,137500.0
2024-12,Property Management,51900.0
2025-01,Brokerage,313900.0
2025-01,Interior Design,132600.0
2025-01,Property Management,61600.0
2025-02,Brokerage,342100.0
2025-02,Interior Design,161800.0
2025-02,Property Management,66800.0
2025-03,Brokerage,356800.0
2025-03,Interior Design,148400.0
2025-03,Property Management,60900.0
2025-04,Brokerage,384400.0
2025-04,Interior Design,155700.0
2025-04,Property Management,63200.0
2025-05,Brokerage,377300.0
2025-05,Interior Design,153800.0
2025-05,Property Management,63100.0
2025-06,Brokerage,346500.0
2025-06,Interior Design,150500.0
2025-06,Property Management,61200.0
2025-07,Brokerage,304500.0
2025-07,Interior Design,128900.0
2025-07,Property Management,58000.0
2025-08,Brokerage,293400.0
2025-08,Interior Design,130400.0
2025-08,Property Management,56300.0
2025-09,Brokerage,311900.0
2025-09,Interior Design,117900.0
2025-09,Property Management,48200.0
2025-10,Brokerage,283000.0
2025-10,Interior Design,133800.0
2025-10,Property Management,51700.0
2025-11,Brokerage,297800.0
2025-11,Interior Design,125600.0
2025-11,Property Management,54900.0
